,clf,split0_ae_fit_time,split0_clf_fit_time,split0_test_accuracy,split0_score_time,split1_ae_fit_time,split1_clf_fit_time,split1_test_accuracy,split1_score_time,split2_ae_fit_time,split2_clf_fit_time,split2_test_accuracy,split2_score_time,dataset_id,hidden_dims,mean_ae_fit_time,mean_clf_fit_time,mean_score_time,mean_test_accuracy
49,LinearSVC,5.409325361251831,0.22185540199279785,0.3146067415730337,0.0009524822235107422,8.63641095161438,0.30394864082336426,0.3283302063789869,0.0010552406311035156,3.652821063995361,0.20687270164489746,0.3076923076923077,0.0008084774017333983,1492,0.25,5.8995191256205235,0.2442255814870199,0.0009387334187825519,0.31687641854810944
50,LogisticRegression,5.409325361251831,2.4516427516937256,0.5730337078651685,0.0006644725799560548,8.63641095161438,2.4523091316223145,0.5984990619136961,0.0006539821624755858,3.652821063995361,2.6436359882354736,0.5666041275797373,0.0007817745208740233,1492,0.25,5.8995191256205235,2.5158626238505044,0.0007000764211018881,0.5793789657862006
51,GaussianNB,5.409325361251831,0.004749059677124024,0.4794007490636704,0.006461381912231445,8.63641095161438,0.004771709442138672,0.5290806754221389,0.006539106369018555,3.652821063995361,0.006062984466552734,0.4484052532833021,0.0074498653411865234,1492,0.25,5.8995191256205235,0.0051945845286051435,0.006816784540812175,0.4856288925897038
52,DecisionTreeClassifier,5.409325361251831,0.0438988208770752,0.4250936329588015,0.00044345855712890636,8.63641095161438,0.04496002197265625,0.4540337711069418,0.00045108795166015625,3.652821063995361,0.04450058937072754,0.38461538461538464,0.00043582916259765625,1492,0.25,5.8995191256205235,0.04445314407348633,0.00044345855712890636,0.4212475962270426
53,KNeighborsClassifier,5.409325361251831,0.001645803451538086,0.4344569288389513,0.0164949893951416,8.63641095161438,0.0016813278198242188,0.5028142589118199,0.01862335205078125,3.652821063995361,0.0015761852264404295,0.4615384615384616,0.017621994018554688,1492,0.25,5.8995191256205235,0.0016344388326009116,0.017580111821492512,0.4662698830964109
54,SVC,8.934605360031126,0.11205649375915527,0.3838951310861423,0.08711814880371094,5.448203802108765,0.1149771213531494,0.39399624765478425,0.09407949447631836,12.93614935874939,0.14403939247131348,0.3883677298311445,0.11975932121276855,1492,0.5,9.106319506963096,0.12369100252787273,0.10031898816426596,0.3887530361906904
55,LinearSVC,8.934605360031126,0.32245397567749023,0.41198501872659177,0.0009596347808837893,5.448203802108765,0.39926838874816895,0.4146341463414634,0.0015614032745361328,12.93614935874939,0.35368990898132324,0.4521575984990619,0.0013761520385742188,1492,0.5,9.106319506963096,0.35847075780232746,0.0012990633646647134,0.4262589211890391
56,LogisticRegression,8.934605360031126,2.6712722778320312,0.6273408239700374,0.001146078109741211,5.448203802108765,2.811539888381958,0.6416510318949343,0.0011072158813476562,12.93614935874939,3.1814615726470947,0.6210131332082551,0.0007295608520507812,1492,0.5,9.106319506963096,2.8880912462870283,0.000994284947713216,0.630001663024409
57,GaussianNB,8.934605360031126,0.00514984130859375,0.5337078651685393,0.008655309677124023,5.448203802108765,0.005117416381835938,0.5440900562851783,0.008762836456298828,12.93614935874939,0.005095243453979492,0.6041275797373359,0.00893712043762207,1492,0.5,9.106319506963096,0.0051208337148030605,0.008785088857014975,0.5606418337303513
58,DecisionTreeClassifier,8.934605360031126,0.08899593353271484,0.4531835205992509,0.00048160552978515625,5.448203802108765,0.10395288467407228,0.476547842401501,0.00040078163146972656,12.93614935874939,0.10000181198120116,0.4540337711069418,0.0006122589111328125,1492,0.5,9.106319506963096,0.09765021006266277,0.0004982153574625652,0.4612550447025646
59,KNeighborsClassifier,8.934605360031126,0.0026657581329345703,0.5318352059925093,0.02837133407592773,5.448203802108765,0.002497434616088867,0.5309568480300187,0.020310163497924805,12.93614935874939,0.00260615348815918,0.6153846153846154,0.022643327713012692,1492,0.5,9.106319506963096,0.0025897820790608725,0.02377494176228841,0.5593922231357146
